date,SMA
2008-09-15,230.6106
2008-09-16,229.2221
2008-09-17,227.316
2008-09-18,226.1644
2008-09-19,225.227
2008-09-22,223.7111
2008-09-23,222.3634
2008-09-24,221.3841
2008-09-25,220.6574
2008-09-26,219.5856
2008-09-29,217.522
2008-09-30,215.8987
2008-10-01,214.5774
2008-10-02,213.0785
2008-10-03,211.6406
2008-10-06,210.4183
2008-10-07,208.5964
2008-10-08,206.6893
2008-10-09,204.0619
2008-10-10,201.4122
2008-10-13,200.0871
2008-10-14,198.0754
2008-10-15,196.1866
2008-10-16,194.0284
2008-10-17,192.1073
2008-10-20,190.8328
2008-10-21,189.1647
2008-10-22,187.1725
2008-10-23,184.9838
2008-10-24,182.6829
2008-10-27,181.3912
2008-10-28,180.5945
2008-10-29,179.2473
2008-10-30,178.4749
2008-10-31,177.7841
2008-11-03,177.1641
2008-11-04,177.689
2008-11-05,177.7926
2008-11-06,177.8488
2008-11-07,177.8272
2008-11-10,176.2664
2008-11-11,174.9812
2008-11-12,173.7732
2008-11-13,172.7465
2008-11-14,171.1787
2008-11-17,169.1925
2008-11-18,167.5542
2008-11-19,165.6611
2008-11-20,163.3349
2008-11-21,161.4075
2008-11-24,159.6007
2008-11-25,157.4265
2008-11-26,155.7736
2008-11-28,154.1002
2008-12-01,151.7587
2008-12-02,149.9687
2008-12-03,147.7742
2008-12-04,146.0714
2008-12-05,144.887
2008-12-08,144.159
2008-12-09,143.8378
2008-12-10,143.7716
2008-12-11,144.0028
2008-12-12,144.0951
2008-12-15,144.1114
2008-12-16,144.7423
2008-12-17,145.1892
2008-12-18,145.944
2008-12-19,147.2132
2008-12-22,148.0829
2008-12-23,149.1005
2008-12-24,149.6246
2008-12-26,149.832
2008-12-29,149.9439
2008-12-30,150.8747
2008-12-31,151.6908
2009-01-02,152.7412
2009-01-05,154.0882
2009-01-06,155.3438
2009-01-07,155.8428
2009-01-08,156.3248
2009-01-09,156.4815
2009-01-12,156.7943
2009-01-13,156.7581
2009-01-14,156.5149
2009-01-15,155.8556
2009-01-16,155.4652
2009-01-20,154.7748
2009-01-21,154.597
2009-01-22,154.8325
2009-01-23,155.5015
2009-01-26,156.0261
2009-01-27,156.8065
2009-01-28,158.0918
2009-01-29,159.1001
2009-01-30,159.8745
2009-02-02,160.3573
2009-02-03,160.6682
2009-02-04,160.8924
2009-02-05,161.6876
2009-02-06,162.8434
2009-02-09,164.4409
2009-02-10,165.5899
2009-02-11,166.6863
2009-02-12,168.2431
2009-02-13,169.7149
2009-02-17,170.793
2009-02-18,172.5574
2009-02-19,173.5495
2009-02-20,174.5513
2009-02-23,174.6857
2009-02-24,175.2269
2009-02-25,175.4817
2009-02-26,175.1936
2009-02-27,175.0599
2009-03-02,174.7748
2009-03-03,174.3963
2009-03-04,173.8564
2009-03-05,172.9195
2009-03-06,171.7873
2009-03-09,169.7713
2009-03-10,168.0009
2009-03-11,166.9827
2009-03-12,166.1173
2009-03-13,165.1485
2009-03-16,164.1959
2009-03-17,164.0123
2009-03-18,163.5105
2009-03-19,163.192
2009-03-20,162.7835
2009-03-23,163.2485
2009-03-24,163.2954
2009-03-25,163.3563
2009-03-26,163.7603
2009-03-27,164.0038
2009-03-30,164.3932
2009-03-31,164.9595
2009-04-01,165.8415
2009-04-02,167.2674
2009-04-03,168.8024
2009-04-06,170.7421
2009-04-07,172.008
2009-04-08,173.1137
2009-04-09,174.3417
2009-04-13,175.6881
2009-04-14,176.9224
2009-04-15,178.0298
2009-04-16,179.4251
2009-04-17,180.9875
2009-04-20,182.2198
2009-04-21,183.044
2009-04-22,183.9604
2009-04-23,184.979
2009-04-24,185.8868
2009-04-27,186.846
2009-04-28,187.8747
2009-04-29,188.9633
2009-04-30,190.0136
2009-05-01,190.7957
2009-05-04,191.6032
2009-05-05,192.4746
2009-05-06,193.5986
2009-05-07,194.4665
2009-05-08,195.34
2009-05-11,196.089
2009-05-12,196.8439
2009-05-13,197.0956
