date,EMA
2007-04-20,234.8279
2007-04-23,235.3473
2007-04-24,235.7432
2007-04-25,236.1234
2007-04-26,236.6197
2007-04-27,236.9651
2007-04-30,236.9132
2007-05-01,236.7525
2007-05-02,236.4533
2007-05-03,236.5385
2007-05-04,236.5148
2007-05-07,236.3094
2007-05-08,236.1016
2007-05-09,236.0302
2007-05-10,235.5939
2007-05-11,235.451
2007-05-14,235.0847
2007-05-15,234.5727
2007-05-16,234.8074
2007-05-17,234.9409
2007-05-18,235.0311
2007-05-21,235.1261
2007-05-22,235.4633
2007-05-23,235.6781
2007-05-24,235.8897
2007-05-25,236.52
2007-05-29,237.2619
2007-05-30,238.4819
2007-05-31,239.5527
2007-06-01,240.6403
2007-06-04,241.9432
2007-06-05,243.6841
2007-06-06,245.2311
2007-06-07,246.4784
2007-06-08,247.6274
2007-06-11,248.4688
2007-06-12,248.9162
2007-06-13,249.3434
2007-06-14,249.6153
2007-06-15,250.007
2007-06-18,250.8061
2007-06-19,251.4866
2007-06-20,251.895
2007-06-21,252.4622
2007-06-22,253.4947
2007-06-25,254.5453
2007-06-26,255.6316
2007-06-27,256.4247
2007-06-28,257.0812
2007-06-29,257.5649
2007-07-02,258.3693
2007-07-03,259.2862
2007-07-05,260.4641
2007-07-06,261.4232
2007-07-09,262.442
2007-07-10,263.4009
2007-07-11,264.3226
2007-07-12,265.1975
2007-07-13,266.3153
2007-07-16,267.3664
2007-07-17,268.4133
2007-07-18,269.0978
2007-07-19,269.6737
2007-07-20,268.8348
2007-07-23,267.7123
2007-07-24,266.7679
2007-07-25,265.7108
2007-07-26,264.6704
2007-07-27,263.9149
2007-07-30,263.4329
2007-07-31,262.705
2007-08-01,262.1868
2007-08-02,261.6258
2007-08-03,260.7356
2007-08-06,260.2646
2007-08-07,260.1259
2007-08-08,260.4667
2007-08-09,260.2472
2007-08-10,260.0973
2007-08-13,259.9498
2007-08-14,259.4867
2007-08-15,258.5399
2007-08-16,257.3952
2007-08-17,256.7666
2007-08-20,256.0965
2007-08-21,255.9053
2007-08-22,256.0257
2007-08-23,256.1078
2007-08-24,256.3163
2007-08-27,256.4219
2007-08-28,256.1897
2007-08-29,256.2892
2007-08-30,256.3085
2007-08-31,256.5098
2007-09-04,257.1649
2007-09-05,257.8842
2007-09-06,258.3305
2007-09-07,258.5351
2007-09-10,258.4876
2007-09-11,258.7719
2007-09-12,259.0921
2007-09-13,259.4835
2007-09-14,260.0274
2007-09-17,260.3546
2007-09-18,261.1269
2007-09-19,262.3788
2007-09-20,263.7971
2007-09-21,265.4276
2007-09-24,267.2811
2007-09-25,269.0049
2007-09-26,270.5244
2007-09-27,271.8676
2007-09-28,273.072
2007-10-01,274.8915
2007-10-02,276.6256
2007-10-03,278.1769
2007-10-04,279.3421
2007-10-05,281.1138
2007-10-08,283.4605
2007-10-09,285.8495
2007-10-10,288.4984
2007-10-11,290.7331
2007-10-12,293.4901
2007-10-15,295.1592
2007-10-16,296.4729
2007-10-17,298.4965
2007-10-18,300.6207
2007-10-19,302.7857
2007-10-22,305.033
2007-10-23,308.2614
2007-10-24,311.1847
2007-10-25,313.4805
2007-10-26,315.8485
2007-10-29,318.2121
2007-10-30,321.0929
2007-10-31,324.2836
2007-11-01,326.9893
2007-11-02,329.8214
2007-11-05,333.0716
2007-11-06,336.7832
2007-11-07,339.7186
2007-11-08,340.5067
2007-11-09,339.793
2007-11-12,337.6236
2007-11-13,337.0211
2007-11-14,335.5747
2007-11-15,333.6913
2007-11-16,332.1775
2007-11-19,330.4362
2007-11-20,329.9446
2007-11-21,330.072
2007-11-23,330.9602
2007-11-26,331.2526
2007-11-27,331.8789
2007-11-28,333.3382
2007-11-29,334.8849
2007-11-30,336.0933
